水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1,彦根市甲田町　 ,75,2650153,-7803609,0351746231,1361729125,
01,消火栓,彦根市,2,彦根市甲田町　 ,100,2648997,-7814141,0351742814,1361728655,
01,消火栓,彦根市,3,彦根市甲田町　 ,125,2626660,-7835459,0351735916,1361719788,
01,消火栓,彦根市,4,彦根市下矢倉町　 ,125,2627897,-7885150,0351719788,1361720220,
01,消火栓,彦根市,5,彦根市下矢倉町　 ,125,2621669,-7902847,0351714050,1361717735,
01,消火栓,彦根市,6,彦根市鳥居本町　 ,150,2621463,-7924658,0351706972,1361717628,
01,消火栓,彦根市,7,彦根市鳥居本町　 ,150,2623040,-7935302,0351703516,1361718240,
01,消火栓,彦根市,8,彦根市鳥居本町　 ,125,2613125,-7934887,0351703660,1361714316,
01,消火栓,彦根市,9,彦根市鳥居本町　 ,125,2597173,-7922509,0351707692,1361708016,
01,消火栓,彦根市,10,彦根市宮田町　 ,125,2573224,-7912373,0351711004,1361658548,
01,消火栓,彦根市,11,彦根市宮田町　 ,125,2563747,-7905855,0351713128,1361654804,
01,消火栓,彦根市,12,彦根市宮田町　 ,75,2557630,-7897664,0351715792,1361652392,
01,消火栓,彦根市,13,彦根市宮田町　 ,125,2554553,-7903330,0351713956,1361651168,
01,消火栓,彦根市,14,彦根市宮田町　 ,100,2553552,-7935168,0351703624,1361650736,
01,消火栓,彦根市,15,彦根市宮田町　 ,75,2535085,-7933778,0351704091,1361643428,
01,消火栓,彦根市,16,彦根市宮田町　 ,75,2538543,-7867962,0351725449,1361644870,
01,消火栓,彦根市,17,彦根市宮田町　 ,75,2531961,-7857582,0351728824,1361642276,
01,消火栓,彦根市,18,彦根市松原町　 ,100,2351729,-7795620,0351749092,1361530996,
01,消火栓,彦根市,19,彦根市松原町　 ,100,2359457,-7794934,0351749308,1361534056,
01,消火栓,彦根市,20,彦根市松原町　 ,100,2367653,-7810226,0351744338,1361537285,
01,消火栓,彦根市,21,彦根市松原町　 ,100,2358908,-7810064,0351744398,1361533823,
01,消火栓,彦根市,22,彦根市松原町　 ,150,2360356,-7825547,0351739372,1361534380,
01,消火栓,彦根市,23,彦根市松原町　 ,100,2371754,-7826155,0351739165,1361538892,
01,消火栓,彦根市,24,彦根市松原町　 ,200,2362215,-7840960,0351734368,1361535100,
01,消火栓,彦根市,25,彦根市松原町　 ,100,2370148,-7840349,0351734560,1361538241,
01,消火栓,彦根市,26,彦根市松原町　 ,200,2365082,-7859144,0351728464,1361536216,
01,消火栓,彦根市,27,彦根市松原町　 ,200,2351420,-7886357,0351719644,1361530780,
01,消火栓,彦根市,28,彦根市松原町　 ,200,2323788,-7927803,0351706216,1361519800,
01,消火栓,彦根市,29,彦根市松原町　 ,75,2314511,-7928049,0351706144,1361516128,
01,消火栓,彦根市,30,彦根市松原町　 ,75,2308436,-7935274,0351703804,1361513716,
01,消火栓,彦根市,31,彦根市松原町　 ,200,2319094,-7939539,0351702411,1361517930,
01,消火栓,彦根市,32,彦根市松原町　 ,150,2359899,-7963759,0351654516,1361534056,
01,消火栓,彦根市,33,彦根市松原町　 ,100,2369319,-8018309,0351636804,1361537728,
01,消火栓,彦根市,34,彦根市松原町　 ,100,2373945,-8013306,0351638424,1361539564,
01,消火栓,彦根市,35,彦根市松原町　 ,75,2414248,-7982251,0351648468,1361555548,
01,消火栓,彦根市,36,彦根市松原町　 ,75,2423452,-7988549,0351646416,1361559184,
01,消火栓,彦根市,37,彦根市松原町　 ,50,2428404,-7969679,0351652536,1361601164,
01,消火栓,彦根市,38,彦根市古沢町　 ,100,2438015,-7992059,0351645264,1361604944,
01,消火栓,彦根市,39,彦根市松原町　 ,75,2424120,-8000194,0351642636,1361559436,
01,消火栓,彦根市,40,彦根市松原町　 ,75,2411392,-8002447,0351641916,1361554396,
01,消火栓,彦根市,41,彦根市松原町　 ,75,2415859,-8006206,0351640692,1361556160,
01,消火栓,彦根市,42,彦根市松原町　 ,100,2426406,-8004625,0351641196,1361600336,
01,消火栓,彦根市,43,彦根市古沢町　 ,75,2426821,-8023925,0351634932,1361600480,
01,消火栓,彦根市,44,彦根市松原町　 ,100,2413184,-8026291,0351634176,1361555080,
01,消火栓,彦根市,45,彦根市古沢町　 ,100,2407753,-8036510,0351630864,1361552920,
01,消火栓,彦根市,46,彦根市古沢町　 ,75,2415026,-8034938,0351631368,1361555800,
01,消火栓,彦根市,47,彦根市古沢町　 ,100,2403690,-8047946,0351627156,1361551300,
01,消火栓,彦根市,48,彦根市松原町　 ,150,2390956,-8048313,0351627048,1361546260,
01,消火栓,彦根市,49,彦根市古沢町　 ,75,2427570,-8031576,0351632448,1361600768,
01,消火栓,彦根市,50,彦根市古沢町　 ,75,2423597,-8042569,0351628884,1361559184,
01,消火栓,彦根市,51,彦根市古沢町　 ,350,2416800,-8052015,0351625824,1361556484,
01,消火栓,彦根市,52,彦根市船町　 ,75,2407003,-8062025,0351622584,1361552596,
01,消火栓,彦根市,53,彦根市船町　 ,150,2398640,-8064376,0351621828,1361549284,
01,消火栓,彦根市,54,彦根市船町　 ,150,2414209,-8069659,0351620100,1361555440,
01,消火栓,彦根市,55,彦根市船町　 ,350,2426372,-8067688,0351620729,1361600256,
01,消火栓,彦根市,56,彦根市旭町　 ,75,2418605,-8080629,0351616536,1361557168,
01,消火栓,彦根市,57,彦根市古沢町　 ,75,2447281,-8021318,0351635760,1361608580,
01,消火栓,彦根市,58,彦根市古沢町　 ,75,2447900,-8048493,0351626940,1361608796,
01,消火栓,彦根市,59,彦根市古沢町　 ,75,2449747,-8058582,0351623664,1361609516,
01,消火栓,彦根市,60,彦根市古沢町　 ,100,2441398,-8065925,0351621288,1361606204,
01,消火栓,彦根市,61,彦根市古沢町　 ,150,2438151,-8076361,0351617904,1361604908,
01,消火栓,彦根市,62,彦根市古沢町　 ,150,2448904,-8083098,0351615708,1361609156,
01,消火栓,彦根市,63,彦根市古沢町　 ,75,2461173,-8078961,0351617040,1361614016,
01,消火栓,彦根市,64,彦根市古沢町　 ,150,2453022,-8092405,0351612684,1361610776,
01,消火栓,彦根市,65,彦根市古沢町　 ,150,2452408,-8100615,0351610020,1361610524,
